Survey_ID,Region,Country,Business Unit,Quarter,Employee_Level,Question_ID,Question_Category,Response_Value,Response_Date
S-1071,AMERICAS,Germany,Operations,Q3-2025,manager,Q-05,Conduct,5.0,2025/10/11
S-2409,emea,IN,s,Q2-2025,staff,q-5,Data Privacy,3.0,2025-04-29
S-3955,APAC,France,finance,q22025,,q-5,ethics,2.0,05-09-2025
S-3968,apac,United States,Operations,Q2-2025,manager,q-1,ethics,3.0,
S-3188,EMEA,Germany,Finance,Q1-2025,,Q-05,Conduct,2.0,2025-09-09
S-1051,apac,Japan,sales,Q3-2025,staff,Q-03,Ethics,3.0,2025-09-02
S-1268,emea,Japan,finance,Q4-2025,Staff,Q-03,ethics,,2025-06-05
S-2017,AMERICAS, ,hr,Q4-2025,manager,3,Data Privacy,4.0,2025/06/02
S-2757,apac,,F,Q1-2025,Senior Staff,Q-04,Conduct,2.0,2025-02-11
S-1983,EMEA, ,finance,Q1 2025,Staff,Q-2,Data Privacy,6.0,2025-05-30
S-1949,apac,IN,HR,q22025, ,Q-02,Conduct,2.0,2025/11/17
S-3709,APAC,UK,finance,Q4-2025,manager,q04,ethics,3.0,2025-02-06
S-1680,apac,,F,Q2-2025, ,Q-02,Data Privacy,6.0,26-07-2025
S-3050,EmEa,Japan,finance,Q4-2025,Staff,Q-2,Conduct,3.0,2025-01-14
S-1938,Americas,JN,HR,Q4-2025,Staff,Q-03,Data Privacy,5.0,2025-05-23
S-3398,emea,     ,sales,Q1-2025, ,q-1,Data Privacy,3.0,2025-02-23
S-2351,emea,IN,sales,Q2-2025,director,3,Ethics,4.0,
S-2034,ApAc,United States,hr,Q4-2025,Staff,q04,Conflict of Int.,5.0,2025-01-28
S-3124,ApAc,,sales,q22025, ,Q-01,ethics,3.0,28-05-2025
S-3861,EmEa,United States,Finance,q22025,manager,q-5,ethics,3.0,10-10-2025
S-1382,APAC,,finance,Q3-2025,Senior Staff,q04,Conflict of Int.,2.0,2025/05/30
S-3890,apac,UK,sales,Q3-2025,manager,q-2,Data privacy,2.0,2025/11/03
S-1560,AMERICAS,Germany,hr,Q2-2025,,Q-05,Conflict of Int.,1.0,2025/06/02
S-3376,EmEa,,IT,Q3-2025,,q-2,Compliance,3.0,06-10-2025
S-2866,ApAc,,Operations,q22025,manager,q3,Data Privacy,2.0,2025-07-30
S-2304,EmEa,IN,hr,Q3-2025,Manager,q-2,Ethics,2.0,30-10-2025
S-1412,EmEa,United States,s,Q3-2025,Staff,q-5,ethics,4.0,2025-03-21
S-2924,apac,France,F,q22025,director,q04,Ethics,,01-10-2025
S-2298,EmEa,,s,Q1-2025,Senior Staff,Q-04,Conduct,6.0,2025/04/27
S-1371,emea,United States,finance,Q3-2025,Manager,q-5,Compliance,1.0,
S-1230,apac,France,Sales,Q3-2025,Manager,Q-04,Data privacy,4.0,2025-04-03
S-1718,AMERICAS,,hr,Q4-2025,manager,q-2,Data privacy,2.0,23-11-2025
S-2883,apac,     ,Finance,Q3-2025,Director,q04,Data privacy,2.0,
S-2416,apac,     ,hr,q22025,Director,q-2,Conflict of Int.,3.0,16-07-2025
S-1437,APAC,UK,F,Q2-2025,Director,q-5,Compliance,1.0,22-07-2025
S-1034,Americas,,sales,Q2-2025,manager,q3,Conflict of Int.,3.0,2025/04/08
S-2027,EMEA,     ,finance,q22025,Staff,Q-05,Conflict of Int.,4.0,
S-2495,EMEA,United States,HR,Q2-2025,director,Q-03,ethics,2.0,2025/07/07
S-3056,apac,,IT,Q2-2025, ,Q-05,Conduct,,28-02-2025
S-1309,EMEA,JN,Operations,q22025,director,3,Compliance,1.0,08-01-2025
S-3198,AMERICAS,Japan,Sales,q22025,Director,q3,Data Privacy,,2025-07-10
S-3765,APAC,Japan,Finance,Q4-2025,,q-1,Data privacy,2.0,22-11-2025
S-3872,apac,     ,hr,Q1-2025,Manager,Q-01,Ethics,3.0,2025-03-01
S-1962,EMEA,UK,sales,Q2-2025,,Q-2,Data privacy,6.0,2025/08/01
S-1406,EmEa,,hr,Q2-2025,Staff,q-5,Compliance,2.0,01-05-2025
S-1407,ApAc, ,Sales,Q1-2025,director,Q-05,ethics,1.0,2025-08-21
S-3715,APAC,     ,F,Q1-2025,Staff,q-1,ethics,2.0,2025-04-16
S-3271,APAC,,Operations,Q1 2025,staff,Q-03,Conflict of Int.,5.0,
S-1593,EMEA, ,HR,Q1 2025,Senior Staff,q04,Conflict of Int.,1.0,2025-07-03
S-3412,ApAc,USA,IT,Q2-2025,Staff,Q-03,Conduct,4.0,02-02-2025
S-2837,ApAc, ,F,Q1-2025, ,3,ethics,5.0,
S-3699,apac,Japan,Finance,Q1-2025, ,Q-2,Data Privacy,6.0,2025-08-16
S-1331,ApAc,,IT,Q1-2025,Manager,Q-05,Data privacy,6.0,16-06-2025
S-3447,apac,Japan,s,Q4-2025,director,Q-02,Conflict of Int.,6.0,2025/10/10
S-1881,emea,Japan,Operations,Q3-2025,staff,q-2,Data Privacy,4.0,10-06-2025
S-2281,apac,France,IT,q22025, ,Q-02,Ethics,,
S-2769,AMERICAS,IN,Sales,Q1 2025,,Q-01,Data privacy,5.0,04-03-2025
S-2449,emea,,Finance,Q2-2025,Director,q-1,Ethics,5.0,2025/03/21
S-2976,APAC,,finance,Q2-2025,,q-1,Ethics,,26-04-2025
S-3298,Americas,,HR,Q1-2025,Manager,Q-05,Conduct,,23-06-2025
S-1026,EMEA,,IT,Q4-2025,director,Q-02,ethics,6.0,2025-01-16
S-3173,APAC,UK,hr,Q3-2025,staff,Q-03,Compliance,3.0,2025/10/18
S-1348,Americas,India,IT,Q4-2025,Staff,q04,Ethics,3.0,06-08-2025
S-3487,EmEa,UK,HR,Q1 2025,,Q-02,Compliance,4.0,31-10-2025
S-3159,apac,USA,Operations,Q3-2025,Staff,Q-01,ethics,3.0,12-03-2025
S-2186,ApAc,United States,Finance,Q3-2025,director,Q-03,ethics,4.0,2025/04/28
S-3289,ApAc,United States,hr,q22025,Staff,Q-2,Ethics,4.0,2025/06/10
S-2759,emea,IN,hr,Q2-2025,Senior Staff,Q-2,Ethics,3.0,13-11-2025
S-3825,ApAc,United States,hr,Q1-2025,manager,Q-2,Data privacy,4.0,22-07-2025
S-2391,APAC,France,IT,Q1-2025,,q04,Ethics,5.0,28-06-2025
S-3980,EMEA,INDIA,finance,Q1 2025,Director,Q-04,ethics,5.0,2025-02-08
S-3573,EmEa,Japan,F,Q4-2025, ,q04,Data privacy,6.0,16-11-2025
S-3570,ApAc,India,sales,Q1-2025, ,q-2,Conduct,3.0,2025-10-30
S-2442,AMERICAS,Germany,sales,Q3-2025,Staff,Q-01,Compliance,,2025-11-27
S-3520,emea,Japan,F,Q4-2025,Staff,q-2,Conflict of Int.,5.0,2025/06/14
S-2949,EMEA,USA,sales,Q1-2025,staff,q-5,Ethics,5.0,2025-01-21
S-3899,EmEa,Japan,s,Q4-2025,Manager,q-1,Compliance,3.0,2025/06/23
S-3449,Americas,JN,Sales,Q1-2025,staff,Q-02,Data privacy,6.0,2025/05/10
S-3690,EMEA,France,finance,Q4-2025,Manager,q-1,Compliance,6.0,2025-07-20
S-3438,AMERICAS,Germany,s,Q3-2025,staff,Q-03,Conduct,6.0,2025-09-27
S-3647,emea, ,Sales,Q1-2025,staff,Q-05,ethics,2.0,2025-09-06
S-1928,EMEA,India,finance,Q2-2025,Senior Staff,3,Conflict of Int.,5.0,2025-09-27
S-3712,ApAc,JN,F,Q1 2025,director,Q-03,ethics,2.0,2025-11-16
S-3954,EmEa,USA,hr,Q2-2025,manager,q-2,Data privacy,3.0,2025-08-18
S-3188,APAC,Germany,sales,Q1 2025,staff,q04,Data privacy,4.0,25-05-2025
S-3060,emea,India,Operations,Q4-2025,Manager,Q-05,Ethics,6.0,2025/07/10
S-1421,AMERICAS,Germany,finance,Q1 2025,Director,q-2,Data privacy,2.0,2025-02-16
S-2848,ApAc,USA,hr,Q1-2025,director,3,Compliance,2.0,11-02-2025
S-1920,Americas,France,finance,q22025,staff,Q-03,ethics,1.0,2025/08/30
S-1569,EmEa,Japan,F,Q1-2025,Senior Staff,Q-01,Compliance,2.0,2025/10/08
S-3494,emea,United States,HR,Q1 2025,Director,Q-02,Ethics,2.0,15-11-2025
S-1258,AMERICAS,,sales,Q4-2025,,Q-01,Conduct,5.0,15-03-2025
S-2759,Americas,,Sales,Q1 2025,director,Q-03,Conduct,6.0,
S-2478,AMERICAS, ,s,Q4-2025,,3,Ethics,4.0,2025/01/23
S-2585,ApAc,Germany,Finance,Q2-2025,Senior Staff,q-1,ethics,6.0,2025/02/23
S-2362,EMEA,USA,Sales,Q4-2025,staff,q04,ethics,,2025/08/26
S-2961,EMEA,JN,IT,Q1-2025, ,Q-01,Compliance,2.0,
S-1818,Americas,France,HR,Q4-2025,director,3,Data Privacy,3.0,
S-3650,APAC,Germany,Sales,Q1-2025,staff,Q-05,Ethics,,2025/07/24
S-2802,emea,France,IT,Q3-2025, ,q-1,Conflict of Int.,5.0,2025/02/12
S-2739,AMERICAS,UK,F,Q1 2025,,Q-05,Compliance,1.0,
S-3708,apac,Germany,sales,Q4-2025,director,Q-03,Conduct,4.0,2025/01/22
S-2445,emea,Germany,Finance,Q1-2025,director,q-1,Data privacy,,2025-03-23
S-1585,EmEa,USA,IT,Q1-2025,manager,q04,Compliance,3.0,2025-10-18
S-3479,EMEA,     ,sales,Q2-2025,staff,q-2,Conflict of Int.,1.0,29-09-2025
S-2631,ApAc,     ,HR,Q1 2025,Senior Staff,Q-01,Conduct,2.0,2025/07/18
S-1483,apac,JN,HR,q22025, ,Q-04,Data privacy,3.0,2025-09-09
S-1503,EMEA,,finance,Q3-2025,Manager,q-5,Data Privacy,1.0,2025/06/13
S-2424,AMERICAS, ,s,Q2-2025,Director,Q-03,Conduct,6.0,2025-11-23
S-2481,APAC,United States,Operations,Q1 2025,manager,q-2,Ethics,3.0,08-07-2025
S-3260,EMEA,,finance,Q1-2025,Director,Q-2,Conduct,6.0,30-07-2025
S-3355,AMERICAS,India,Sales,q22025,Senior Staff,q-2,Data Privacy,6.0,2025/03/07
S-3621,EMEA,JN,IT,Q3-2025,,Q-01,Conflict of Int.,1.0,2025-06-05
S-1664,ApAc,IN,Operations,Q2-2025,,Q-05,Conflict of Int.,1.0,2025/11/22
S-2125,EMEA,     ,HR,Q4-2025,,Q-02,Data privacy,6.0,2025-10-25
S-1702,ApAc,,F,Q1-2025,Staff,Q-02,Ethics,6.0,2025/05/16
S-1864,emea,,Finance,Q3-2025,,Q-05,Conduct,3.0,27-07-2025
S-2858,AMERICAS,IN,Finance,Q1 2025, ,Q-2,Data Privacy,4.0,2025-11-07
S-2281,ApAc,IN,Sales,Q3-2025,Manager,q-1,Data privacy,5.0,04-05-2025
S-1502,apac,Japan,Operations,Q1 2025,Senior Staff,Q-01,Compliance,4.0,2025-08-03
S-1655,ApAc,,Sales,Q1 2025,Manager,q-2,Data privacy,4.0,07-06-2025
S-1095,AMERICAS,UK,s,Q3-2025,manager,Q-04,Data privacy,3.0,
S-2153,EmEa,,sales,Q2-2025,,Q-01,Conflict of Int.,1.0,2025/05/16
S-2499,emea,France,Finance,Q3-2025,Staff,q3,Data privacy,2.0,2025-05-28
S-2583,EmEa,JN,s,Q2-2025,Senior Staff,Q-03,Ethics,4.0,2025/06/23
S-2498,EMEA,INDIA,F,Q4-2025,director,3,Ethics,1.0,
S-3923,ApAc,JN,sales,Q4-2025, ,Q-03,Data privacy,5.0,10-11-2025
S-1666,emea,,HR,Q4-2025,staff,3,Conflict of Int.,5.0,16-10-2025
S-2946,Americas,France,Sales,q22025,Senior Staff,Q-2,Data privacy,3.0,2025-11-19
S-3445,EmEa,Germany,F,Q4-2025,manager,q-5,Ethics,5.0,2025/09/26
S-3954,emea,India,Operations,Q1-2025,Senior Staff,Q-04,Ethics,4.0,19-03-2025
S-3829,APAC,UK,s,Q4-2025, ,q-5,Conduct,1.0,2025-09-23
S-3298,ApAc,     ,sales,Q4-2025,director,q-1,ethics,4.0,2025/06/25
S-2452,apac,,sales,Q1 2025,manager,Q-05,Data privacy,3.0,02-06-2025
S-3888,APAC,IN,sales,Q2-2025, ,q-1,Data privacy,,2025-05-28
S-3349,emea,UK,Sales,Q1 2025,Director,Q-01,Compliance,6.0,
S-2812,apac,IN,sales,Q1 2025,manager,3,Compliance,5.0,2025-03-12
S-3522,APAC,INDIA,Finance,q22025,,Q-04,Conduct,2.0,
S-2693,ApAc,IN,sales,Q1-2025,Manager,Q-01,Data privacy,2.0,01-09-2025
S-3665,APAC,JN,HR,Q2-2025,Director,q04,Ethics,,
S-3352,APAC, ,Finance,Q1 2025,director,Q-03,Ethics,,2025-09-11
S-2186,Americas,USA,HR,Q4-2025,Senior Staff,q-1,Compliance,4.0,2025/10/06
S-3024,EMEA,,s,Q3-2025,Director,Q-04,Conflict of Int.,1.0,2025/08/23
S-2054,EMEA,USA,Sales,Q2-2025,manager,Q-03,Data privacy,,27-07-2025
S-3111,ApAc,United States,hr,q22025,Senior Staff,Q-03,ethics,4.0,2025-05-08
S-2069,emea,INDIA,sales,Q2-2025,staff,Q-05,Data privacy,6.0,2025/05/14
S-2473,APAC,USA,finance,Q3-2025,Director,Q-03,Data Privacy,6.0,2025/06/09
S-1481,apac,France,F,Q1 2025,manager,Q-03,Data Privacy,2.0,07-11-2025
S-2704,EmEa,JN,s,q22025,manager,Q-04,Conduct,,2025/02/11
S-2830,ApAc,United States,F,Q1-2025,Staff,3,Data privacy,2.0,2025-03-18
S-2344,EmEa,United States,Operations,q22025, ,Q-02,Data privacy,4.0,2025-08-21
S-3103,emea,Japan,F,Q1-2025,,q-2,Conduct,,12-01-2025
S-2043,Americas,IN,Operations,Q4-2025,Senior Staff,Q-01,Data Privacy,3.0,2025-10-05
S-1283,EmEa,USA,HR,Q3-2025,Manager,Q-03,Conflict of Int.,6.0,27-11-2025
S-2534,emea,Japan,hr,Q3-2025,Senior Staff,q04,Conduct,,2025-06-28
S-1732,emea, ,IT,q22025,manager,Q-01,Conflict of Int.,1.0,2025/08/26
S-3946,emea, ,hr,Q1 2025,manager,q-2,Compliance,2.0,2025-02-27
S-3705,emea,,Finance,Q1 2025,manager,Q-02,Ethics,5.0,
S-3449,Americas,INDIA,Finance,Q3-2025, ,Q-04,Data privacy,2.0,2025-01-29
S-3064,apac,INDIA,F,Q2-2025,staff,Q-04,Compliance,2.0,2025-09-24
S-2694,apac,Germany,Finance,Q4-2025,Manager,q04,Conduct,4.0,25-01-2025
S-3636,emea,JN,s,Q2-2025,director,Q-2,ethics,3.0,03-10-2025
S-1988,APAC,Germany,IT,Q3-2025,Staff,3,Data Privacy,4.0,10-03-2025
S-1995,apac,INDIA,Sales,q22025,Senior Staff,q-2,Conflict of Int.,3.0,
S-3968,APAC,USA,HR,Q3-2025,Staff,Q-02,ethics,,2025-10-14
S-2964,APAC,,Sales,Q2-2025,Staff,Q-04,ethics,6.0,2025-09-03
S-3850,APAC,UK,Operations,Q4-2025,staff,Q-05,Data Privacy,4.0,03-07-2025
S-2072,ApAc, ,sales,Q3-2025,Senior Staff,q-5,Data Privacy,,15-04-2025
S-2282,emea,USA,F,Q1 2025,Manager,Q-01,Compliance,5.0,2025/10/24
S-2711,apac,India,Operations,Q2-2025,manager,Q-2,Data privacy,,2025/10/09
S-3806,ApAc,Germany,sales,q22025, ,q-2,ethics,6.0,2025-03-28
S-3951,EmEa,India,s,q22025,Staff,3,Ethics,,2025-01-25
S-2690,EMEA,,Operations,Q1-2025,Manager,Q-01,ethics,5.0,2025/01/31
S-3613,EmEa,     ,sales,Q1-2025,Staff,3,Data privacy,4.0,
S-3169,apac, ,HR,Q1-2025,,q-5,Conduct,4.0,2025-04-02
S-1395,EMEA,INDIA,Operations,Q4-2025,,Q-05,Conflict of Int.,3.0,2025-07-23
S-2529,emea,Japan,F,Q1 2025,manager,Q-05,Conduct,,2025-01-17
S-2661,emea,UK,s,Q3-2025,Staff,q04,Ethics,6.0,13-09-2025
S-3642,ApAc,,finance,Q4-2025,Staff,Q-04,ethics,,18-10-2025
S-2111,Americas,United States,HR,Q4-2025,Staff,Q-03,Conflict of Int.,3.0,
S-1849,EMEA,JN,hr,Q1-2025,Director,Q-03,Data privacy,2.0,2025/07/19
S-3215,ApAc,UK,IT,q22025,Senior Staff,3,Conduct,3.0,
S-2791,APAC,,finance,Q2-2025,director,q-1,Ethics,6.0,19-08-2025
S-1935,ApAc, ,hr,Q3-2025,Manager,q04,Data privacy,6.0,13-11-2025
S-2010,AMERICAS,United States,HR,Q1 2025,director,q-5,Conflict of Int.,6.0,19-07-2025
S-2478,AMERICAS,United States,Finance,Q2-2025, ,q-1,Conflict of Int.,3.0,2025-02-14
S-2766,EmEa, ,s,Q4-2025,director,Q-02,Ethics,1.0,2025/02/17
S-3450,ApAc,,hr,Q1-2025,Director,Q-2,Data Privacy,,
S-3292,APAC,,s,Q1 2025,director,Q-03,ethics,3.0,2025-09-10
S-1260,EMEA,UK,HR,Q3-2025,Director,q-2,Conflict of Int.,1.0,2025/05/07
S-3561,EmEa,,F,Q1 2025, ,Q-02,ethics,3.0,
S-2621,ApAc,,F,Q3-2025,staff,q-2,Compliance,4.0,2025-11-01
S-2231,ApAc,,Operations,Q3-2025,staff,Q-03,Data Privacy,3.0,21-11-2025
S-3359,APAC,France,hr,Q2-2025,director,q-1,Ethics,5.0,2025-10-07
S-3793,Americas,IN,sales,q22025,manager,q-2,Conflict of Int.,3.0,05-02-2025
S-3757,EmEa,India,HR,Q1 2025,Director,q04,ethics,6.0,2025-07-13
S-2840,EmEa,,hr,Q4-2025,,q-5,Data Privacy,5.0,
S-2473,AMERICAS,United States,Operations,q22025,staff,Q-03,Conduct,5.0,
S-3643,emea,JN,Sales,Q3-2025,Senior Staff,Q-01,Ethics,3.0,2025/09/23
S-3378,APAC,Japan,Sales,Q3-2025, ,q04,Data privacy,6.0,2025-06-26
S-2978,AMERICAS,Germany,hr,Q1-2025,Senior Staff,q-5,ethics,3.0,2025-08-22
S-3135,EmEa,France,sales,Q1-2025, ,q-5,Conduct,4.0,2025-06-03
S-3912,AMERICAS,USA,Sales,q22025,Senior Staff,q04,Conflict of Int.,2.0,2025/05/05
S-1715,EMEA,France,s,Q3-2025, ,Q-04,Conflict of Int.,4.0,2025/04/06
S-3693,emea,UK,Finance,q22025,manager,q-2,Data privacy,4.0,2025-04-20
S-2141,AMERICAS,,finance,Q4-2025,Manager,q-1,Compliance,2.0,2025/05/15
S-3005,ApAc,,hr,Q4-2025,director,q3,Ethics,3.0,2025/08/23
S-1707,apac,,F,Q1-2025,Manager,q-1,Ethics,2.0,04-04-2025
S-3841,EMEA, ,hr,Q3-2025,Manager,q3,Data Privacy,4.0,2025/11/22
S-3841,EMEA, ,IT,Q3-2025,Director,Q-03,ethics,3.0,2025-11-14
S-2471,Americas,Japan,IT,Q1 2025,director,3,Data privacy,6.0,09-09-2025
S-3909,EmEa,Japan,IT,Q1-2025,Staff,Q-04,Compliance,1.0,03-10-2025
S-1689,EmEa,,sales,Q4-2025,,Q-02,Data privacy,1.0,06-10-2025
S-3221,Americas,JN,sales,Q4-2025,manager,Q-2,Ethics,6.0,07-05-2025
S-1133,EmEa,Germany,Sales,Q1-2025, ,Q-02,Conflict of Int.,,2025/10/29
S-2437,emea,India,F,Q1 2025,manager,Q-04,Conflict of Int.,1.0,30-09-2025
S-3445,EMEA,France,HR,Q2-2025,Director,3,Conduct,,
S-2686,Americas,Germany,IT,q22025,Manager,Q-04,ethics,6.0,2025/05/07
S-2609,EmEa,India,F,q22025,Director,q04,Data Privacy,4.0,2025-11-21
S-2651,apac,IN,Sales,Q3-2025, ,q-1,Data privacy,1.0,2025/02/17
S-2878,ApAc,,finance,Q4-2025,director,Q-04,Data Privacy,,18-05-2025
S-2162,ApAc, ,F,Q1 2025, ,q-1,Conduct,,
S-1408,EmEa,USA,finance,Q1 2025, ,q-2,Ethics,4.0,2025/03/09
S-2237,EMEA,,HR,Q1-2025,staff,Q-05,Ethics,3.0,2025-03-26
S-2624,apac,IN,Operations,Q3-2025,Senior Staff,q-5,Ethics,1.0,2025-02-09
S-3432,APAC, ,sales,Q1-2025,Staff,q-5,Compliance,,2025/08/05
S-1542,EmEa,United States,Operations,Q3-2025,Senior Staff,q-5,Conflict of Int.,1.0,08-07-2025
S-1562,emea,JN,IT,q22025,Manager,Q-02,Data privacy,5.0,
S-3663,EMEA,Japan,Sales,q22025,manager,q04,Conduct,2.0,2025/11/12
S-2813,APAC,United States,finance,Q1 2025,Senior Staff,q3,Conduct,4.0,08-08-2025
S-1573,APAC,Germany,finance,Q1 2025,,q3,Data privacy,6.0,2025/01/14
S-2236,APAC, ,F,Q4-2025,manager,q-5,Data Privacy,3.0,03-05-2025
S-2581,AMERICAS,INDIA,sales,q22025,Senior Staff,3,Ethics,3.0,09-03-2025
S-3329,emea,France,s,q22025,Manager,q-2,Conflict of Int.,1.0,
S-1277,Americas,Germany,Operations,Q1-2025,Staff,Q-2,Data privacy,3.0,14-09-2025
S-2735,emea,United States,s,Q4-2025,Manager,Q-05,Ethics,3.0,
S-1833,EMEA, ,Sales,Q3-2025,Senior Staff,Q-05,Conduct,4.0,2025-05-03
S-2002,AMERICAS,UK,finance,Q3-2025,Staff,Q-05,Conduct,6.0,2025-03-31
S-1052,EMEA,IN,Finance,Q1 2025, ,q-1,Data privacy,5.0,2025-05-13
S-2524,EMEA,IN,HR,q22025,Senior Staff,Q-01,Compliance,,2025-09-26
